IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	2.5264093749470797,	0.01463142029770876,	6.676804795854431,	7.110700919544123,	33.33093427715026,
524288,	524288,	262144,	Conv2,	3.032446683941347,	0.2066917980524435,	0.09140974986968445,	26.741544598137054,	35.28310581622863,
524288,	524288,	262144,	Conv3,	5.2527938443822135,	0.026799968593786805,	10.505587688764427,	7.941165693946452,	31.516763066293283,
524288,	524288,	262144,	Conv4,	8.43951625569342,	0.14474634835872469,	0.03167373435945762,	18.53482016648343,	20.23024972514528,
524288,	524288,	262144,	Conv5,	3.1463731991409176,	0.12842339588330276,	6.292746398281835,	6.40812679302074,	12.521281098622019,
524288,	524288,	262144,	Conv6,	3.3543189965655267,	0.22141072458197195,	0.02436721289557028,	28.515580476146706,	28.079753319573157,
524288,	524288,	262144,	Conv7,	4.53778586689879,	0.18521574966933835,	4.53778586689879,	9.240529510846834,	9.029267796380244,
524288,	524288,	262144,	Conv8,	6.542972050424144,	0.11680016222244753,	0.012318767109398764,	14.425732535739632,	13.774206630842542,
524288,	524288,	262144,	Conv9,	2.9114541023558083,	0.9506788905651619,	5.8229082047116165,	9.644191714053616,	8.682372055239643,
524288,	524288,	262144,	Conv10,	3.347577349678926,	0.23057292969727294,	0.011275123008923358,	26.440830622967226,	25.18648986740055,
524288,	524288,	262144,	Conv11,	4.107400130975769,	1.372626064178127,	4.107400130975769,	13.605762933857237,	12.248853962017026,
524288,	524288,	262144,	Conv12,	6.032193419096257,	0.14894304738509276,	0.005462537979184175,	12.88473721636822,	10.608701273514772,
524288,	524288,	262144,	Conv13,	1.8842615193961472,	4.9317661196439975,	3.7685230387922943,	11.824702392128883,	9.114874760599347,
524288,	524288,	262144,	Conv14,	2.980722963138979,	0.27373986396174294,	0.004277185374402233,	20.25888852585618,	17.947069830991772,
524288,	524288,	262144,	Conv15,	2.321780574707325,	6.076905279718662,	2.321780574707325,	14.570357688214335,	11.231317384665218,
524288,	524288,	262144,	Conv16,	2.980722963138979,	0.27373986396174294,	0.004277185374402233,	20.25888852585618,	17.947069830991772,
524288,	524288,	262144,	Conv17,	2.321780574707325,	6.076905279718662,	2.321780574707325,	14.570357688214335,	11.231317384665218,
524288,	524288,	262144,	Conv18,	2.980722963138979,	0.27373986396174294,	0.004277185374402233,	20.25888852585618,	17.947069830991772,
524288,	524288,	262144,	Conv19,	2.321780574707325,	6.076905279718662,	2.321780574707325,	14.570357688214335,	11.231317384665218,
524288,	524288,	262144,	Conv20,	2.980722963138979,	0.27373986396174294,	0.004277185374402233,	20.25888852585618,	17.947069830991772,
524288,	524288,	262144,	Conv21,	2.321780574707325,	6.076905279718662,	2.321780574707325,	14.570357688214335,	11.231317384665218,
524288,	524288,	262144,	Conv22,	2.980722963138979,	0.27373986396174294,	0.004277185374402233,	20.25888852585618,	17.947069830991772,
524288,	524288,	262144,	Conv23,	2.321780574707325,	6.076905279718662,	2.321780574707325,	14.570357688214335,	11.231317384665218,
524288,	524288,	262144,	Conv24,	4.513954822891126,	0.24038812666284104,	0.0018780322395534456,	9.136626845427513,	2.5015389430851895,
524288,	524288,	262144,	Conv25,	0.3997514300737743,	8.353989069296833,	0.7995028601475486,	8.827164231424975,	3.351041284915311,
524288,	524288,	262144,	Conv26,	2.082078094526744,	0.3824225071579734,	0.0003734594796464584,	4.209635254574879,	0.26889082534545,
524288,	524288,	262144,	Conv27,	0.7371127205417872,	15.404151547648778,	0.7371127205417872,	16.276652318902322,	6.179077727666701,
