IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	2.3822275449101795,	0.013796407185628742,	6.295760479041916,	5.523017964071856,	6.295760479041916,
524288,	524288,	262144,	Conv2,	5.131191757532373,	0.003681499188280561,	0.15467409784095412,	45.01752547009421,	0.46402229352286234,
524288,	524288,	262144,	Conv3,	4.9913331095111975,	0.02546598525260815,	9.982666219022395,	5.173176160455602,	9.982666219022395,
524288,	524288,	262144,	Conv4,	18.085404199208845,	0.008346253604393375,	0.04383232144668396,	25.946299972468957,	0.2191616072334198,
524288,	524288,	262144,	Conv5,	3.210390773709551,	0.13103635811059391,	6.420781547419102,	3.3926132092070955,	6.420781547419102,
524288,	524288,	262144,	Conv6,	5.818434822942788,	0.016698314224006725,	0.04226760787951703,	49.106089376567276,	0.3804084709156532,
524288,	524288,	262144,	Conv7,	4.852904551774165,	0.19807773680710875,	4.852904551774165,	5.090443087710814,	4.852904551774165,
524288,	524288,	262144,	Conv8,	7.729123305751561,	0.029240062947357735,	0.018503477333874817,	22.336666835879996,	0.16653129600487335,
524288,	524288,	262144,	Conv9,	3.093274150792183,	1.0100487022994884,	6.186548301584366,	7.252820417976697,	6.186548301584366,
524288,	524288,	262144,	Conv10,	5.434420015163003,	0.062384923643452835,	0.018303909888443628,	42.62644860825301,	0.32947037799198525,
524288,	524288,	262144,	Conv11,	4.47870037712271,	1.4624327762033338,	4.47870037712271,	10.501238479905384,	8.95740075424542,
524288,	524288,	262144,	Conv12,	6.669094061551799,	0.0998699609882965,	0.0073255309926311225,	18.518075422626787,	0.1318595578673602,
524288,	524288,	262144,	Conv13,	1.8059964726631392,	4.717705071446568,	3.6119929453262785,	12.034985422740524,	7.223985890652557,
524288,	524288,	262144,	Conv14,	4.098341909662665,	0.1881891693212448,	0.0058809115412889,	27.68733153638814,	0.2117128154864004,
524288,	524288,	262144,	Conv15,	2.2040852185372284,	5.757610366791127,	2.2040852185372284,	14.687810235009884,	8.816340874148914,
524288,	524288,	262144,	Conv16,	4.098341909662665,	0.1881891693212448,	0.0058809115412889,	27.68733153638814,	0.2117128154864004,
524288,	524288,	262144,	Conv17,	2.2040852185372284,	5.757610366791127,	2.2040852185372284,	14.687810235009884,	8.816340874148914,
524288,	524288,	262144,	Conv18,	4.098341909662665,	0.1881891693212448,	0.0058809115412889,	27.68733153638814,	0.2117128154864004,
524288,	524288,	262144,	Conv19,	2.2040852185372284,	5.757610366791127,	2.2040852185372284,	14.687810235009884,	8.816340874148914,
524288,	524288,	262144,	Conv20,	4.098341909662665,	0.1881891693212448,	0.0058809115412889,	27.68733153638814,	0.2117128154864004,
524288,	524288,	262144,	Conv21,	2.2040852185372284,	5.757610366791127,	2.2040852185372284,	14.687810235009884,	8.816340874148914,
524288,	524288,	262144,	Conv22,	4.098341909662665,	0.1881891693212448,	0.0058809115412889,	27.68733153638814,	0.2117128154864004,
524288,	524288,	262144,	Conv23,	2.2040852185372284,	5.757610366791127,	2.2040852185372284,	14.687810235009884,	8.816340874148914,
524288,	524288,	262144,	Conv24,	4.2608648354636935,	0.25063910796845257,	0.0019581180310035357,	11.11036170791406,	0.07049224911612728,
524288,	524288,	262144,	Conv25,	0.3518554879246024,	7.353061625199854,	0.7037109758492048,	10.247342290538835,	2.8148439033968193,
524288,	524288,	262144,	Conv26,	2.07596193628465,	0.38129913115432357,	0.0003723624327678941,	4.221100537856847,	0.026810095159288373,
524288,	524288,	262144,	Conv27,	0.5892106437445689,	12.31329998355997,	0.5892106437445689,	17.16000845487212,	4.713685149956551,
